avgAnnCount,avgDeathsPerYear,TARGET_deathRate,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,MedianAge,MedianAgeMale,MedianAgeFemale,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctAsian,PctOtherRace,PctMarriedHouseholds,BirthRate
71.0,28,197.9,468.9,43111,12388,19.9,0.0,43.5,42.6,44.5,2.72,48.8,25.8,21.6,45.1,7.5,35.6,8.4,48.0,11.0,57.5,45.6,40.4,38.3,23.4,73.80173858,22.93643831,0.901188293,0.047850706,51.98325253,2.190865206
124.0,45,179.0,473.3,57491,23312,11.8,0.0,41.5,41.2,42.1,2.74,57.1,22.5,20.1,54.1,3.3,29.0,19.6,53.3,8.5,67.7,54.2,47.5,30.3,15.4,94.98081418,0.555727076,0.50721122,1.658360164,59.5762815,6.774789571
19.0,5,126.4,538.1,34444,4040,27.1,0.0,35.4,37.2,33.9,2.86,52.1,26.4,33.2,37.9,2.5,36.2,6.5,53.7,10.1,40.2,31.4,28.3,35.9,24.9,83.64624506,2.0256917,0.0,10.62252964,53.31920904,1.424501425
230.0,87,201.7,492.0,61195,57106,11.0,35.02258957,36.1,34.9,37.2,2.95,55.1,16.3,42.0,40.0,1.7,38.2,11.5,61.1,6.0,70.2,59.0,52.3,23.5,13.0,82.76404906,13.54933187,0.970162914,0.571114772,60.07486979,5.321944809
54.0,24,194.4,444.5,33293,10787,26.6,0.0,35.3,35.5,35.1,0.026,47.6,15.2,33.7,48.8,2.3,37.9,10.3,48.6,10.3,52.1,38.5,34.3,41.8,27.5,58.39652303,30.16460144,0.841501757,10.15350472,45.90657961,7.363601679
100.0,43,202.2,491.6,34553,13886,20.6,0.0,43.7,42.7,44.3,2.27,61.6,26.7,32.0,38.8,2.5,37.1,6.8,47.0,10.2,59.0,39.9,34.6,45.3,23.1,87.38413642,11.07337437,0.021226916,0.629731833,55.5392636,7.489134069
81.0,36,174.0,388.5,36642,18454,24.9,0.0,38.6,37.6,39.8,2.63,50.1,26.5,48.0,24.4,1.2,42.8,8.2,49.5,7.9,49.6,38.1,33.3,39.7,26.4,76.67372536,18.89015583,0.83618396,1.992724114,50.80739871,6.281957633
32.0,15,213.5,403.2,31740,8398,26.5,0.0,34.9,34.8,34.9,2.98,49.8,42.0,21.7,36.3,0.0,39.2,5.2,54.9,7.3,40.5,32.9,28.6,36.7,24.8,66.8073306,17.2293224,0.0,13.41933928,48.44877345,5.448065173
85.0,26,138.7,433.0,46018,18495,16.9,0.0,40.4,40.3,40.5,2.8,57.1,15.2,46.9,36.3,1.6,45.5,7.2,53.8,8.5,61.1,47.2,42.0,33.4,18.2,93.41732112,2.683246073,1.27617801,0.687172775,58.96535938,4.162724693
94.0,40,180.7,426.9,35078,18963,26.7,0.0,39.0,37.1,41.4,2.71,51.1,26.1,41.4,28.9,3.6,38.0,7.2,43.0,13.8,49.2,34.6,27.0,37.8,22.0,84.13691572,11.43067459,0.741363899,1.077869499,49.42512216,5.015887426
58.0,25,162.6,393.3,40454,12243,23.2,0.0,37.3,35.8,38.9,2.71,41.1,5.4,37.1,56.0,1.6,44.8,9.7,42.9,4.8,64.4,48.2,45.7,37.7,19.3,69.97489408,26.21999059,0.635493488,1.663266907,49.89059081,3.671437461
80.0,41,210.8,411.4,36865,18455,21.7,0.0,39.0,37.7,39.6,2.79,53.0,22.8,37.6,37.0,2.7,45.6,4.7,47.5,10.9,43.9,32.8,28.5,39.4,25.8,94.51549967,3.186646434,1.110990679,0.075872534,55.37152408,4.942780618
95.0,32,159.3,469.0,32903,15658,28.8,0.0,496.8,38.9,44.8,2.37,46.9,28.4,35.9,34.7,1.0,38.0,9.0,45.4,17.0,48.4,33.7,28.2,42.8,25.6,59.15456929,35.16019697,0.511607086,3.696361195,43.59130303,4.200664853
135.0,54,208.9,490.5,66556,35137,11.9,0.0,35.1,34.3,35.9,2.89,57.8,19.9,38.7,39.0,2.5,27.6,20.4,57.9,9.0,70.8,54.6,39.7,26.0,14.6,78.30533016,15.23030979,2.192995686,0.696811559,59.58395245,4.93857195
33.0,12,162.8,488.6,30760,6479,38.5,0.0,38.2,36.5,41.3,2.13,33.6,36.1,46.1,17.8,0.0,38.6,6.0,37.1,7.7,45.2,34.4,30.9,42.4,25.4,33.94976113,61.2883341,0.585606411,3.25165665,35.62091503,7.258753202
